	TCGA-44-2655	TCGA-44-2657	TCGA-44-2661	TCGA-44-2665	TCGA-44-2668	TCGA-44-3396	TCGA-44-3398	TCGA-44-6144	TCGA-44-6776	TCGA-44-6777	TCGA-44-6778	TCGA-44-7659	TCGA-44-7660	TCGA-44-7661	TCGA-44-7662	TCGA-44-7667	TCGA-44-7669	TCGA-44-7670	TCGA-44-7671	TCGA-44-7672	TCGA-49-6742	TCGA-49-6743	TCGA-49-6744	TCGA-49-6745	TCGA-50-5930	TCGA-50-5932	TCGA-50-5933	TCGA-50-7109	TCGA-55-7283	TCGA-55-7570	TCGA-55-7574	TCGA-55-7576	TCGA-55-7724	TCGA-55-7725	TCGA-55-7726	TCGA-55-7903	TCGA-55-7910	TCGA-55-7911	TCGA-55-7914	TCGA-78-7163	TCGA-78-7540	TCGA-86-7711	TCGA-86-7713	TCGA-91-6835	TCGA-91-6836	TCGA-93-7348
hsa-let-7a-2-3p	3.117690957922052	4.501862828950671	4.034556894265345	4.468578163208033	4.18576476956173	4.8351198327899	2.394312902958715	1.0056665604561208	1.4050144288190793	2.1481296345161542	1.106414857705712	0.6337928680627373	2.209301741179555	1.0852262123109355	1.2980242282018406	0.7349357751859129	1.27004323544907	1.343201054111076	0.7072053397506953	1.3820396794757164	1.1258359424672457	1.0948887151830828	0.8609004085652334	1.1349267017986944	1.3277825905605924	0.41575323465029834	0.5260756533380309	1.1401289532484733	1.2311699662745101	1.8970400259249198	1.7487035557708932	1.9032848143988053	0.4887837972188442	0.5246674885872051	0.5948569378411138	3.421305281436375	0.5896830731987885	0.0	1.7679299336089642	0.9829927045852558	0.9163655200684031	1.5106463999090871	1.2451085967524964	1.7570994620406313	1.5889708361136958	0.5466197009192522
hsa-let-7a-3p	0.0	0.0	0.0	1.933065007765823	1.6552783246247131	0.0	1.2744637729173016	6.191064629584475	6.606145365880292	5.649602904505433	4.404578762285315	4.711027367134053	5.352958103955864	5.030700452993581	4.637482679976534	5.481533451388882	4.8495199075677755	5.473270704383352	5.635555925007778	6.231169637396133	4.747514465595152	4.515217057217802	4.062752111278871	4.436925427480572	4.428829347220671	4.665713006803873	4.378532937581662	4.768044416553725	4.976768575068833	5.471339707186206	5.475792753981085	5.665425239147403	5.41743252533373	5.429809743634139	5.238146456801138	4.245590826106528	5.079785452785254	5.3942072027647665	5.381822187537676	5.659938436752589	5.207028463124042	4.816898582141076	4.9880168474479065	6.4377342373264135	6.155671003149333	3.123673340788068
hsa-let-7a-5p	16.8248313425159	16.324952182046054	16.71524086640516	16.00093405011324	16.326928233134407	15.53089748328333	16.513069726661666	15.922000338631733	15.904910578823385	15.542928918243025	16.39436571659948	15.765622585839665	16.335752932763274	16.023803224919675	16.592262027682825	16.54746166399161	16.280207234169897	16.6070987983275	16.36312355906655	15.508932317033166	15.959501192175937	16.07013440082302	15.652307415013759	16.162304485629715	15.786485605997784	16.32016444634595	16.535770405703214	16.632191292014372	16.775510684308298	16.209611382158425	16.83175558748879	16.623527198327718	15.89278611745879	16.324933662887698	15.24262979474636	15.85237351917229	15.995091708049845	15.685353983782818	16.11033515408173	16.006313572716955	16.472862925350967	16.638129197866306	16.58037934231058	16.10301676560445	16.05233413327312	16.50734118971595
hsa-let-7b-3p	8.851119756267028	7.973869802653294	8.417433215289822	7.641800736346546	8.412250760149364	9.891099207779506	7.262584000096221	5.4484562385552495	5.263569221539344	5.698102518467182	5.295829414599353	5.044178018728124	4.793416830309663	4.999422233233434	5.048594487792947	4.925824263697907	4.559920450492307	4.699244320878383	5.018858600038445	4.5955971270478715	4.597068481471771	4.488088150288589	4.551190842185345	4.276202347322028	5.405261968321115	5.002771498843751	5.327709197441194	4.8784590661243525	4.760711973541466	4.952767274435284	5.408660541717809	5.178183696052663	5.410609955023219	5.266804106088067	4.157096493969695	3.960665826396735	4.871612172118526	4.625598199408515	4.80028311077653	4.537095352933062	4.756439906847398	4.943685357029699	5.099306467261459	4.741424081329115	4.896577143676534	3.820565997923101
hsa-let-7b-5p	17.999014336047086	17.12920047947996	17.499323760561047	17.446379963281636	17.127018627204354	16.731434881322997	15.769323410007154	14.43723658565373	14.146846145829686	14.585040337650456	14.687950837102195	14.088648194136843	14.125843609007143	13.243162590273325	14.479414052895603	14.458231808328287	14.285716531587145	14.664054292168327	14.217883178294048	13.663592179163848	14.111150220359846	14.124990741212532	14.31555853162626	14.61816978360114	14.801680128421063	14.516290161918834	14.4610950625346	14.0444035959093	14.745503487793453	13.57199848531734	14.836876254428422	14.410689487999067	14.534541583441756	14.28777090858305	13.514386275619442	13.42022347348592	14.129524320432155	13.979702965719977	14.240317889401984	13.976159743598183	14.36935249292094	14.41001794378408	14.560690960622946	13.637853855735074	13.786171711447638	14.10308237485373
hsa-let-7c-3p	2.275003384730771	0.0	1.1267632388972264	2.386254775981314	1.6552783246247131	0.0	0.0	2.28199651329137	1.862799258514714	3.569208033636637	1.4487154236683233	1.5052793806046583	2.4674470721747306	2.4559735471977113	1.2980242282018406	2.111571181187085	2.3315315561678407	2.0265425459689435	1.5350154538773668	0.9395451156327945	2.5550561519451023	2.395027878448998	1.8689068814389562	1.8946626184366149	1.6388764023799407	1.8765502719466687	1.8639546899404822	2.046288064559312	2.181859136770187	1.8970400259249198	2.182961305324479	2.261449933116845	1.7738142903205025	1.7707490796756462	1.4335342508764066	1.5571021088047239	1.4684302581872646	2.0559178267732077	1.7679299336089642	1.4377509613190864	2.2765572167192074	1.9851370989514505	2.0469311990531316	2.819389497397246	2.4496914798630316	1.0260800615348975
hsa-let-7c-5p	13.692545505015753	13.003919383697307	13.439860677479075	13.359911223657647	13.271479358380757	13.02642216560192	10.701818678689685	10.843799256765456	11.489911963119537	11.834270816095275	11.538038540560454	10.999445238437604	11.831791060005738	11.588821920325328	11.260377484812503	11.425635816955573	11.51889285549407	11.981174815183085	11.774232694023913	10.869801222749171	11.936949978970286	11.776204025265509	11.381235860980148	11.964810450394365	11.928791351447941	11.534078833515776	11.618573070570205	11.42230179395627	12.02841214537593	11.2424822284219	11.795975258630827	11.735171073534481	11.442163703325148	11.415486468734887	10.882125796790453	10.074387371538537	11.411383954414264	10.984316058034981	11.348352320559211	11.35260101345781	11.537798031624218	11.340763249674021	11.746889634348905	12.007900659518288	11.178363789736311	11.767310317000312
hsa-let-7d-3p	14.238952373573426	13.726143307916166	14.008966811944259	13.500230170894271	14.014021783941669	14.847788559349048	12.76976075002403	9.004699035470352	8.707913013329103	9.427626511369908	7.705898398662002	8.249831210287649	8.622173495507585	7.91985995903175	8.308513483548476	8.491455115087799	8.648588979771299	8.31129460863806	8.41603900356163	8.701688866355271	7.315400290864185	7.347622802406214	7.417580031859075	7.033928070471925	8.705645154276034	8.215550204912	8.471616261233612	8.394190048305685	8.038559558275768	9.003385036284557	8.82887970802613	8.878028144860462	8.577738630900601	8.520550514143098	7.440115176486763	7.986074273797914	8.75639226598753	8.733902978018671	8.183289416614995	8.015761733073157	8.063406789124553	8.075288977050029	8.104696022511629	8.622645703150344	8.559301673404185	6.748561348304021
hsa-let-7d-5p	8.58871003095675	9.068784067121983	9.125451056060209	8.000497976121617	8.940059276570821	8.723725024748292	8.376591023797824	8.419253616181548	7.9641330688999705	8.121340036469068	8.867178109768727	8.126156064868105	7.7133013853191414	7.713683035502544	8.296848434201465	7.93549911044869	7.949760825298244	8.000927501385968	7.770939670975662	7.71778621646554	8.19049805397176	7.623794705069944	7.603126585676924	8.021185044316724	8.10931974243909	8.18937797219817	8.219190836126614	8.066351879727517	7.933132098029412	7.976589556335545	8.268561689845475	8.213241379677605	7.969350929986722	8.297376746363435	7.394169186800514	7.384517500037621	7.89363923241352	7.777642801368095	7.819720683531898	8.29231987731832	7.694615976378071	7.905414329695196	7.858007178195324	7.724770398760514	8.214899782376605	7.696901669780529
hsa-let-7e-3p	6.5710654301061195	6.660523923224373	7.195672126520986	6.576295074832612	6.817516519108187	7.709443190529835	5.74163654939755	4.040368329896047	4.014665904669749	4.9424475566201975	3.5794750487939786	3.990433111053674	3.844525775599112	4.14448764115291	3.7244807684601677	3.497869375990618	4.375986849618472	3.57919179521842	3.5808368881402473	3.9924290631578723	3.3660356321186917	3.3345294313477645	2.9125294751697335	3.211601668801258	3.836879289479846	3.5469363392538136	3.475105260202569	2.9072058410121113	3.9529307260352784	3.51650058803365	4.000581035158593	3.89859672896574	3.8788124477411574	3.4991629730856304	3.9344257924025903	3.0921497987312963	3.871127555632308	3.591354264243084	3.436037676634985	3.428358575188716	4.007646590510401	3.876309487341301	3.294177044463559	4.194590580667206	4.035388538977348	2.8746131079379604
